27,155,307,72,
210,124,1015,90,
313,167,1403,124,
456,149,175,51,
551,173,295,64,
610,147,1657,122,
689,161,1649,129,
834,124,194,57,
927,153,303,72,
1008,878,618,72,
1069,100,1512,96,
1159,102,1762,133,
1317,104,189,49,
1413,104,330,70,
1458,126,2714,151,
1614,129,486,82,
1598,718,206,88,
1598,1033,504,82,
1732,110,171,53,
1834,126,301,66,
1899,104,2917,131,
1994,78,921,70,
2080,122,1553,92,
2197,80,196,63,
2315,110,316,66,
2413,78,2943,74,
2476,124,1728,70,
2577,78,320,57,
2679,126,238,49,
2766,78,433,61,
2862,80,482,63,
2955,82,1840,63,
3051,108,1293,76,
3165,63,202,55,
3281,92,326,72,
3405,82,2939,80,
3468,41,1283,63,
3561,64,1342,92,
3689,17,212,64,
3821,43,379,74,
3992,612,846,37,
